name;Pattern (91 templates considered in the paper);Pattern (new templates);category;author;description;views;copies;link-href
1-on-1 Meeting Agenda;Categorized information;;Team Management;por Sarah Goff-Dupont, Principal Writer @ Atlassian;This board keeps myself and my direct reports on the same page.;63,9 mil;18,1 mil;https://trello.com/templates/team-management/1-on-1-meeting-agenda-FoIwUPz2
2020 Online Bullet Journal - BuJo;;Ordered Information;Productivity;por Nayara Soares, Brazil Country Manager @ MyHeritage;Get into bullet journaling without having to carry a notebook everywhere you go.;51 mil;9,5 mil;https://trello.com/templates/productivity/2020-online-bullet-journal---bujo-zL8W3v5V
30 60 90 Day Plan Template;Process Tasks & Categorized Information;;Operations-hr;por Atlassian;Help your new team members excel in their first 90 days.;40,8 mil;8,8 mil;https://trello.com/templates/operations-hr/30-60-90-day-plan-template-a597dVjV
4 Ls Exercise;Categorized Tasks;;Personal;por Dom Price, Work Futurist @ Atlassian;How do you be the best version of you? The 4 L's exercise is designed for you as a leader/role model.;23,5 mil;2,8 mil;https://trello.com/templates/personal/4-ls-exercise-Bay7DwxN
4Ls;;Categorized Tasks;Team Management;por Atlassian Team Playbook;Reflect back on your work and use what you’ve learned to improve as a team.;836;101;https://trello.com/templates/team-management/4ls-vjiiDolu
5 Product Management Buckets;Kanban;;Product Management;por Zoho Desk;We manage product management tasks by splitting the work into 5 different buckets.;54,5 mil;11,4 mil;https://trello.com/templates/product-management/5-product-management-buckets-H8rDCB7e
8 Creative Habits;Categorized Tasks;;Productivity;por Cherry Jeffs, Creative Practice Coach + Mixed-media Artist;A proven framework for implementing crucial habits for a sustainable and productive creative practice!;42,9 mil;4,3 mil;https://trello.com/templates/productivity/8-creative-habits-L6SJcYm6
A Halloween Hiring & Recruiting;;Information Lifecycle;Operations-hr;por Toni, Founder @ Crmble;A template with Power-Ups to help with hiring and recruiting.;11 mil;2,8 mil;https://trello.com/templates/operations-hr/a-halloween-hiring-&-recruiting-MVwm6SjI
Academic Literature Review;;Categorized Information;Education;por Ann Gillian Chu, PhD researcher @ the University of St. Andrews;Keep track of what you've read and your notes in one place for long writing projects, like dissertations.;7,4 mil;1,8 mil;https://trello.com/templates/education/academic-literature-review-UV8x4jC3
Academic Publishing Tracker;;Categorized Information & Information Lifecycle;Education;por Ann Gillian Chu, PhD researcher @ the University of St. Andrews;Keep track of where and when you have submitted an article and celebrate your wins!;899;245;https://trello.com/templates/education/academic-publishing-tracker-DI9oVhN3
Academic Research Degree Application Tracker;;Categorized Information;Education;por Ann Gillian Chu, PhD researcher @ the University of St. Andrews;Keep track of the many moving parts in the process of applying for a research degree position.;701;128;https://trello.com/templates/education/academic-research-degree-application-tracker-fwYBOH2a
Agile Board;Kanban & Categorized Information;;Project Management;por Lyndi Thompson, Sr. Demand Generation Manager @ Accolade Health;Getting things done is a process: it’s a way of thinking that involves planning, execution, iteration, and reflection.;463,9 mil;78,5 mil;https://trello.com/templates/project-management/agile-board-DnZvFigA
Agile Marketing;;Information Lifecycle;Marketing;por Anthony Idle, Owner @ Ecommerce Garage;A template for ecommerce marketers.;11,7 mil;1,3 mil;https://trello.com/templates/marketing/agile-marketing-nSGBzBZH
Agile Sprint Board;Kanban;;Engineering;por Trello Engineering Team;Develop an agile workflow that keeps your team of developers on task and under deadline.;183,1 mil;56,3 mil;https://trello.com/templates/engineering/agile-sprint-board-ZqN99gGN
