web-scraper-order,web-scraper-start-url,category,category-href,name
"1607097258-175","https://trello.com/templates","Para asuntos privados","https://trello.com/templates/personal","Milano by food"
"1607097273-248","https://trello.com/templates","Ingeniería","https://trello.com/templates/engineering","Swift Developer Roadmap"
"1607097208-72","https://trello.com/templates","Gestión de equipos","https://trello.com/templates/team-management","4Ls"
"1607097263-199","https://trello.com/templates","RR. HH. y operaciones","https://trello.com/templates/operations-hr","Recruiting Pipeline"
"1607097208-74","https://trello.com/templates","Gestión de equipos","https://trello.com/templates/team-management","1-on-1 Meeting Agenda"
"1607097273-242","https://trello.com/templates","Ingeniería","https://trello.com/templates/engineering","Innovation Weeks"
"1607097263-210","https://trello.com/templates","RR. HH. y operaciones","https://trello.com/templates/operations-hr","Wellbeing Discussion Template"
"1607097273-245","https://trello.com/templates","Ingeniería","https://trello.com/templates/engineering","Smart Building System Projects"
"1607097273-239","https://trello.com/templates","Ingeniería","https://trello.com/templates/engineering","Android Developer Roadmap"
"1607097268-219","https://trello.com/templates","Marketing","https://trello.com/templates/marketing","Client Marketing Campaign"
"1607097208-79","https://trello.com/templates","Gestión de equipos","https://trello.com/templates/team-management","Office Party Planning"
"1607097283-272","https://trello.com/templates","Diseño","https://trello.com/templates/design","Design Project Board Template"
"1607097263-205","https://trello.com/templates","RR. HH. y operaciones","https://trello.com/templates/operations-hr","HR Team Learning Tracker"
"1607097258-168","https://trello.com/templates","Para asuntos privados","https://trello.com/templates/personal","Goals and Tasks - Personal Life"
"1607097283-279","https://trello.com/templates","Diseño","https://trello.com/templates/design","Portfolio - Step by Step guide"
"1607097288-290","https://trello.com/templates","Negocio","https://trello.com/templates/business","Decision Tracking Board"
"1607097273-247","https://trello.com/templates","Ingeniería","https://trello.com/templates/engineering","Sprint Retrospectives"
"1607097252-145","https://trello.com/templates","Productividad","https://trello.com/templates/productivity","Daily Task Management"
"1607097268-212","https://trello.com/templates","Marketing","https://trello.com/templates/marketing","Podcast Workflow Template"
"1607097258-189","https://trello.com/templates","Para asuntos privados","https://trello.com/templates/personal","Travel Itinerary Template"
"1607097288-296","https://trello.com/templates","Negocio","https://trello.com/templates/business","Town Hall Meetings"
"1607097258-156","https://trello.com/templates","Para asuntos privados","https://trello.com/templates/personal","Book Clubs"
"1607097217-90","https://trello.com/templates","Asistencia","https://trello.com/templates/support","Building A Customer Feedback Program"
"1607097252-143","https://trello.com/templates","Productividad","https://trello.com/templates/productivity","8 Creative Habits"
"1607097283-281","https://trello.com/templates","Diseño","https://trello.com/templates/design","UX Empathy Mapping"
